journal,database,category,publisher,cas,is_top
Antiphon-A Journal for Liturgical Renewal,ESCI;,Philosophy ,CATHOLIC UNIV AMER PRESS,4,0
ANTIQVORVM PHILOSOPHIA-An International journal,ESCI;,Philosophy ,FABRIZIO SERRA EDITORE,4,0
Anuario de Historia de la Iglesia,AHCI,Philosophy ,"UNIV NAVARRA, SERVICIO PUBLICACIONES",4,0
Anuario Filosofico,AHCI,Philosophy ,"UNIV NAVARRA, SERVICIO PUBLICACIONES",4,0
Arabic Sciences and Philosophy,AHCI,Philosophy ,CAMBRIDGE UNIV PRESS,4,0
Approaching Religion,ESCI;,Philosophy ,DONNER INST RESEARCH RELIGIOUS & CULTURAL HISTORY,3,0
ARCHIVE FOR HISTORY OF EXACT SCIENCES,AHCISCIE;,Philosophy ,SPRINGER,2,0
Arabica,AHCI,Philosophy ,BRILL,3,0
Aramaic Studies,ESCI;,Philosophy ,BRILL,3,0
Araucaria-Revista Iberoamericana de Filosofia Politica y Humanidades,ESCI;,Philosophy ,"UNIV SEVILLA, EDITORIAL",4,0
ARCHIV FUR GESCHICHTE DER PHILOSOPHIE,AHCI,Philosophy ,WALTER DE GRUYTER GMBH,2,0
Archiv fur Rechts- und Sozialphilosophie,ESCI;,Philosophy ,FRANZ STEINER VERLAG GMBH,4,0
Archiv fur Religionsgeschichte,ESCI;,Philosophy ,WALTER DE GRUYTER GMBH,4,0
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,SSCI;AHCI,Philosophy ,CAMBRIDGE UNIV PRESS,1,1
Archive for the Psychology of Religion-Archiv fur Religionspsychologie,SSCI;AHCI,Philosophy ,SAGE PUBLICATIONS LTD,4,0
ARCHIVES OF NATURAL HISTORY,SSCI;AHCISCIE;,Philosophy ,EDINBURGH UNIV PRESS,4,0
Argumentos de Razon Tecnica,ESCI;,Philosophy ,"UNIV SEVILLA, EDITORIAL",4,0
Argumentos-Revista de Filosofia,ESCI;,Philosophy ,"UNIV FEDERAL CEARA, GEOGRAPHY POSGRADUATE PROGRAM",4,0
ARYS-Antiguedad Religiones y Sociedades,ESCI;,Philosophy ,"UNIV CARLOS III MADRID, INST HISTORIOGRAFIA JULIO CARO BAROJA",4,0
Asclepio-Revista de Historia de la Medicina y de la Ciencia,AHCI,Philosophy ,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,4,0
Asian Bioethics Review,ESCI;,Philosophy ,SPRINGER,3,0
Asian Ethnicity,ESCI;,Philosophy ,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Asian Journal of Business Ethics,ESCI;,Philosophy ,SPRINGER,3,0
ASIAN PHILOSOPHY,AHCI,Philosophy ,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
Asterion-Philosophie Histoire des Idees Pensee Politique,ESCI;,Philosophy ,"ECOLE NORMALE SUPERIEURE LYON, LETTRES & SCIENCES HUMAINES",4,0
Ateliers de l Ethique-The Ethics Forum,ESCI;,Philosophy ,"UNIV MONTREAL, FAC ARTS & SCIENCES",4,0
Aufklarung-Revista de Filosofia,ESCI;,Philosophy ,UNIV FEDERAL PARAIBA,4,0
Augustinian Studies,AHCI,Philosophy ,PHILOSOPHY DOCUMENTATION CENTER,4,0
Australasian Catholic Record,ESCI;,Philosophy ,AUSTRALASIAN CATHOLIC RECORD,4,0
AUSTRALASIAN JOURNAL OF PHILOSOPHY,AHCI,Philosophy ,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1,1
Axiomathes,AHCI,Philosophy ,SPRINGER,Î´ÆÀ¼¶,0
Bajo Palabra-Journal of Philosophy,ESCI;,Philosophy ,"UNIV AUTONOMA MADRID, SERVICIO PUBLICACIONES",4,0
